Player,Team,Season,Matches,Runs,Average,StrikeRate,Wickets,Economy
Virat Kohli,RCB,2018,14,530,48.18,139.3,0,-
Rohit Sharma,MI,2018,14,286,23.83,126.5,0,
MS Dhoni,CSK,2018,16,455,75.83,150.6,0,
David Warner,SRH,2018,0,-,-,-,-,-
KL Rahul,KXIP,2018,14,659,54.91,158.4,0,
Andre Russell,KKR,2018,16,316,28.72,184.8,17,8.98
Hardik Pandya,MI,2018,13,260,23.63,191.1,12,9.15
Jasprit Bumrah,MI,2018,14,14,7,77.8,17,6.88
Rashid Khan,SRH,2018,17,222,31.71,151,21,6.73
Shikhar Dhawan,SRH,2018,16,297,35.5,139.3,0,-
Surya Kumar Yadav,MI,2018,14,512,36.57,133.9,0,_
Sanju Samson ,RR,2018,15,441,33.92,137.8,0,_
Rishabh Pant,DC,2018,14,684,52.61,173.6,0,_
Shreyas Iyer,DC,2018,12,411,34.25,132.4,0,_
Mohammad Shami,PBKS,2018,14,_,_,_,19,8.01
Yuzvendra Chahal,RCB,2018,14,0,_,_,12,7.7
Faf du Plessis,CSK,2018,16,441,33.92,136.1,0,-
Jos Buttler,RR,2018,13,548,54.8,155.8,0,-
Glenn Maxwell,KXIP,2018,13,169,14.08,173.1,10,8.82
Ravindra Jadeja,CSK,2018,16,206,23.2,127.1,15,7.36
Bhuvneshwar Kumar,SRH,2018,12,0,-,-,12,7.23
Trent Boult,MI,2018,16,0,-,-,18,7
Ajinkya Rahane,RR,2018,15,370,28.46,130.7,0,-
Mayank Agarwal,PBKS,2018,11,196,17.81,122.5,0,-
Ishan Kishan,MI,2018,14,275,22.91,149.4,0,-
Prithvi Shaw,DC,2018,9,161,20.12,155.7,0,-
Deepak Chahar,CSK,2018,12,0,-,-,10,7.59
AB de Villiers,RCB,2018,16,480,53.33,174.39,0,-
Chris Gayle,KXIP,2018,11,368,33.45,145.45,0,-
Kieron Pollard,MI,2018,16,133,19,133,13,8.45
Sunil Narine,KKR,2018,16,357,22.31,189.36,17,7.65
Quinton de Kock,MI,2018,16,529,35.26,132.9,0,-
Ben Stokes,RR,2018,13,196,21.77,119.5,8,8.88
Eoin Morgan,KKR,2018,16,176,17.6,122.2,0,
Aaron Finch,RR,2018,16,418,27.86,134.6,0,-
Steve Smith,RPS,2018,4,147,36.75,147,0,-
Kane Williamson,SRH,2018,17,735,52.5,142.44,0,-
Pat Cummins,KKR,2018,12,63,9,172.6,15,8.29
Shubman Gill,KKR,2018,13,203,33.83,146,0,-
Rinku Singh,KKR,2018,4,29,9.66,90.6,0,-
Washington Sundar,SRH,2018,7,65,13,120.3,8,7.88
Rahul Tripathi,SRH,2018,5,107,26.75,137.1,0,-
Nitish Rana,MI,2018,15,304,21.71,130.4,0,-
Axar Patel,DC,2018,9,80,20,129,8,7.59
Kuldeep Yadav,KKR,2018,16,0,-,-,17,8.24
Mohammed Siraj,RCB,2018,11,0,-,-,11,9.08
Harshal Patel,RCB,2018,0,-,-,-,-,-
Prasidh Krishna,KKR,2018,4,0,-,-,4,9.14
T Natarajan,SRH,2018,0,-,-,-,-,-
Shardul Thakur,CSK,2018,16,123,15.37,139.7,15,9.23
Krunal Pandya,MI,2018,14,228,18.61,137.3,12,7.07
Deepak Hooda,SRH,2018,3,84,42,173.6,0,-
Virat Kohli,RCB,2019,14,464,33.14,141.6,0,-
Rohit Sharma,MI,2019,15,405,28.92,128.9,0,
MS Dhoni,CSK,2019,15,416,83.2,134.2,0,
